"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
1,1,4,25.3,17.5,37.4,70,10,1.391,1.17,110.062,80.955,25963.73,2.641,1.943,0.114746867,0.379,0.441,224.545,229.167,1,1524,695,13.7095890410959,8.96986301369863
1,1,4,25.1,18.4,11,46,10,1.391,1.17,110.062,80.955,25963.73,2.641,1.943,0.114746867,0.379,0.441,224.545,229.167,1,1524,695,13.7095890410959,8.96986301369863
1,1,4,25.6,17.2,37.6,71,10,1.391,1.17,110.062,80.955,25963.73,2.641,1.943,0.114746867,0.379,0.441,224.545,229.167,1,1524,695,13.7095890410959,8.96986301369863
1,1,7,25,16.1,11.5,45,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
1,1,7,25.9,16.2,36.6,70,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
1,1,7,25.8,16.4,36.7,69,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
1,1,7,26,15.9,36.5,70,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
1,1,7,26.4,16,36.6,71,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
1,1,7,26.2,14.9,36.7,69,10,1.11,0.88,83.963,55.926,9422.55,2.015,1.342,0.117119518,0.668,0.774,158.864,161.333,1,758,1633.07949125596,3.32876712328767,8.48949319589493
0,1,6,25.2,14.9,34.6,69,10,0.998,0.752,73.56,44.879,8893.81,1.765,1.077,0.143443207,0.545,0.618,186.818,193.111,0,1816.33935585232,729,9.00320530038499,2.11232876712329
0,1,6,24.3,14.5,10.8,38,10,0.998,0.752,73.56,44.879,8893.81,1.765,1.077,0.143443207,0.545,0.618,186.818,193.111,0,1816.33935585232,729,9.00320530038499,2.11232876712329
0,1,6,24.6,14.5,36.2,65,10,0.998,0.752,73.56,44.879,8893.81,1.765,1.077,0.143443207,0.545,0.618,186.818,193.111,0,1816.33935585232,729,9.00320530038499,2.11232876712329
0,1,6,24.7,17.7,36.4,67,10,0.998,0.752,73.56,44.879,8893.81,1.765,1.077,0.143443207,0.545,0.618,186.818,193.111,0,1816.33935585232,729,9.00320530038499,2.11232876712329
0,1,6,24.9,14.6,36.2,69,10,0.998,0.752,73.56,44.879,8893.81,1.765,1.077,0.143443207,0.545,0.618,186.818,193.111,0,1816.33935585232,729,9.00320530038499,2.11232876712329
0,1,7,24.5,17.2,36.7,68,24,0.777,0.508,52.073,22.978,6092.86,1.25,0.551,0.099126227,0.345,0.381,125.592,126.376,0,1878,1633.07949125596,5.4986301369863,8.48949319589493
0,1,7,24.5,18,36.5,67,24,0.777,0.508,52.073,22.978,6092.86,1.25,0.551,0.099126227,0.345,0.381,125.592,126.376,0,1878,1633.07949125596,5.4986301369863,8.48949319589493
0,1,7,24.5333333333333,16.6666666666667,36.4333333333333,68,24,0.777,0.508,52.073,22.978,6092.86,1.25,0.551,0.099126227,0.345,0.381,125.592,126.376,0,1878,1633.07949125596,5.4986301369863,8.48949319589493
0,1,7,24.6,14.8,36.1,69,24,0.777,0.508,52.073,22.978,6092.86,1.25,0.551,0.099126227,0.345,0.381,125.592,126.376,0,1878,1633.07949125596,5.4986301369863,8.48949319589493
1,0,13,26.9,16.8,37,70,2,0.976,0.565,70.326,29.984,3035.34,1.688,0.72,0.10962491,0.475,0.554,165.738,167.611,1,2057,1633.07949125596,12.227397260274,8.48949319589493
