BirdID	PHt	Hs_obs	Hs_exp	IR	HL
3666	0.428571429	0.884966427	0.874070726	0.122584732	0.529539075
3668	0.5	1.032460831	1.01974918	-0.040018726	0.44417814
3669	0.464285714	0.958713629	0.946909953	0.01353296	0.49234576
3670	0.714285714	1.474944045	1.456784543	-0.37933306	0.239578473
3671	0.535714286	1.106208034	1.092588407	-0.088161468	0.402513882
3673	0.464285714	0.958713629	0.946909953	0.039463916	0.506485108
3674	0.428571429	0.884966427	0.874070726	0.058255806	0.523614173
3676	0.571428571	1.179955236	1.165427634	-0.116591072	0.399142428
3677	0.607142857	1.253702438	1.238266862	-0.215497381	0.360632098
3678	0.714285714	1.474944045	1.456784543	-0.362355409	0.229939033
3679	0.535714286	1.106208034	1.092588407	-0.091562825	0.420903491
3680	0.321428571	0.66372482	0.655553044	0.362628402	0.680932427
3682	0.357142857	0.737472022	0.728392272	0.221396224	0.582700652
3684	0.5	1.032460831	1.01974918	-0.016120539	0.499084477
3685	0.535714286	1.106208034	1.092588407	-0.052718707	0.390947975
3686	0.428571429	0.884966427	0.874070726	0.084906403	0.568986962
3688	0.678571429	1.401196843	1.383945316	-0.311724812	0.263834382
3689	0.535714286	1.106208034	1.092588407	-0.125463014	0.391094278
3690	0.607142857	1.253702438	1.238266862	-0.187115206	0.362577346
3691	0.571428571	1.179955236	1.165427634	-0.107829962	0.367235857
3692	0.464285714	0.958713629	0.946909953	0.03672216	0.461950946
3693	0.607142857	1.253702438	1.238266862	-0.210936888	0.298558592
3694	0.392857143	0.811219225	0.801231499	0.169503412	0.597376933
3695	0.428571429	0.884966427	0.874070726	0.098928186	0.537915658
3696	0.392857143	0.811219225	0.801231499	0.112331247	0.594629535
3697	0.5	1.032460831	1.01974918	-0.010519192	0.428058084
3698	0.428571429	0.884966427	0.874070726	0.067832869	0.549042278
3699	0.5	1.032460831	1.01974918	0.043756624	0.507128469
3700	0.444444444	0.934837634	0.9241212	0.020448856	0.469904507
3701	0.571428571	1.179955236	1.165427634	-0.121369648	0.358239812
3702	0.571428571	1.179955236	1.165427634	-0.103936731	0.376854041
3741	0.714285714	1.310884713	1.300930173	-0.307700351	0.20052107
3742	0.642857143	1.32744964	1.311106089	-0.297537771	0.277833282
3745	0.464285714	0.958713629	0.946909953	0.043047176	0.49305464
3754	0.714285714	1.474944045	1.456784543	-0.403034117	0.229978754
3758	0.607142857	1.253702438	1.238266862	-0.24284145	0.301107274
3761	0.444444444	0.895302489	0.884235447	0.062422857	0.505949837
3766	0.37037037	0.765706374	0.755675036	0.193971948	0.562475715
3785	0.321428571	0.66372482	0.655553044	0.356257753	0.620208883
3793	0.5	1.032460831	1.01974918	-0.026486355	0.464241453
3794	0.428571429	0.884966427	0.874070726	0.065494793	0.511433091
3810	0.607142857	1.253702438	1.238266862	-0.12035049	0.351925437
3829	0.5	1.032460831	1.01974918	0.013262815	0.439048731
3831	0.571428571	1.179955236	1.165427634	-0.134630204	0.37838097
3840	0.272727273	0.539567552	0.533261284	0.42843783	0.693363628
3844	0.384615385	0.759920311	0.753658446	0.284416898	0.669078585
3849	0.642857143	1.32744964	1.311106089	-0.202972273	0.280053943
3863	0.321428571	0.66372482	0.655553044	0.312615616	0.637821652
3866	0.321428571	0.66372482	0.655553044	0.319523959	0.62089882
3871	0.333333333	0.638057656	0.631367699	0.340765992	0.681199359
3877	0.583333333	1.116600899	1.104893474	-0.157023763	0.388136283
3931	0.666666667	1.276115313	1.262735399	-0.20976758	0.331974479
3944	0.666666667	1.276115313	1.262735399	-0.237978923	0.352973425
3946	0.5	1.032460831	1.01974918	-0.050266154	0.435885253
3964	0.357142857	0.737472022	0.728392272	0.228811689	0.600655044
3976	0.62962963	1.296444604	1.279571757	-0.197276651	0.335605013
3986	0.571428571	1.179955236	1.165427634	-0.176478609	0.366708206
3987	0.5	1.032460831	1.01974918	-0.001661466	0.470688291
3994	0.285714286	0.565119869	0.561372599	0.313177265	0.676406979
4017	0.642857143	1.32744964	1.311106089	-0.298106307	0.292317983
4042	0.535714286	1.106208034	1.092588407	-0.166852613	0.372771443
4057	0.296296296	0.622528432	0.614478319	0.365573808	0.652979478
4064	0.25	0.478543242	0.473525775	0.599358359	0.676267062
4086	0.535714286	1.106208034	1.092588407	-0.11774374	0.401990364
4194	0.5	1.032460831	1.01974918	-0.060032235	0.462747593
4235	0.285714286	0.589977618	0.582713817	0.415071207	0.673087062
4255	0.37037037	0.746085408	0.736862873	0.269514607	0.640469241
4256	0.535714286	1.106208034	1.092588407	-0.03804938	0.397917204
